Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,G+A,Glsxx,Goals,Shots,Shots on Target,Shots on Target%,Goals per Shot,Goals per Shot on Target,Avg Shot Distance,FK Shots,Penalties,Penalites Attempted,xG,npxG,npxG per Shot,G-xG,npG-xG,Passes Completed,Passes Attempted,Passes Completed%,Total Pass Dist,Prog Pass Dist,Short Pass Cmp,Short Pass Att,Shor tPass Cmp %,Medium Pass Cmp,Medium Pass Att,Medium Pass Cmp%,Long Pass Cmp,Long Pass Att,Long Pass Cmp%,Assists,xAG,xA,A-xAG,Key Passes,Final 1/3 Cmp,Passes into Penalty Area,Crosses into Penalty Area,Prog Passes,Live Pass,Dead Pass,FK Passes,Thru Balls,Switches,Crosses,Throw In,Corners,In Swing CK,Out Swing CK,Straight CK,Passes Offside,Passes Blocked,SCA,SCA Pass Live,SCA Pass Dead,SCA Dribble,SCA Sh,SCA Fouls Drawn,SCA Def,GCA,GCA Pass Live,GCA Pass Dead,GCA Dribble,GCA Shot,GCA Fouls Drawn,GCA Def,Tackle,Tackles Won,Def 3rd Tkl,Mid 3rd Tkl,Att 3rd Tkl,Drb Tkl,Drb Past Att,Drb Tkl%,Drb Past,Blocks,Sh Blocks,Pass Blocks,Int,Tkl+Int,Clr,Err,Touches,Def Pen Touch,Def 3rd Touch,Mid 3rd Touch,Att 3rd Touch,Att Pen Touch,Live Touch,Att Drb,Succ Drb,Drb Succ%,Times Tackled,Times Tackled%,Carries,Total Carry Distance,Prog Carry Distance,Prog Carries,Carries To Fina lThird,Carries To Pen Area,Carry Mistakes,Disposesed,Received Pass,Prog Passes Rec,Yellows,Reds,Yellow2,Fls,Fld,Off,PKwon,PKcon,OG,Recov,AerialWins,AerialLoss,AerialWin%
Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33,1989,11,4,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,245,63,9,0,4,11,50,4,1,3,0,0,3,12,7,3,0,0,2,0,1,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0,1,100,169,522,220,4,5,0,0,2,210,6,1,0,0,2,3,1,0,0,0,18,6,3,66.7
Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,2002,9,9,713,0,0,0,7,1,14.3,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0,0.1,0.1,-0.1,1,10,2,0,21,254,23,3,1,3,5,20,0,0,0,0,0,7,7,6,0,0,0,1,0,0,0,0,0,0,0,0,16,9,9,3,4,7,7,100,0,7,3,4,3,19,10,0,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,5,0,0,10,16,0,0,0,0,42,1,9,10
Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,188,69.7,3303,2420,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,0,4,0,0,2,153,35,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,0,0,0,137,697,399,0,0,0,1,0,104,0,0,0,0,0,1,0,0,0,0,6,0,0,0
Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,14,5,527,0,0,0,6,2,33.3,0,0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90,0,0.4,0.5,-0.4,1,7,2,0,8,141,9,1,1,0,2,2,0,0,0,0,1,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,17,14,7,5,5,8,16,50,8,11,2,9,1,18,10,0,228,15,63,102,65,9,228,10,3,30,6,60,117,514,168,8,5,4,11,10,142,17,1,0,0,7,3,1,0,1,0,24,4,5,44.4
Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,16,5,619,1,0.15,1,14,6,42.9,0.07,0.17,16.8,0,0,0,1,1,0.07,0,0,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,176,12,0,0,0,1,2,0,0,0,0,2,7,13,12,0,0,0,1,0,1,1,0,0,0,0,0,3,2,0,2,1,0,3,0,3,8,2,6,1,4,9,0,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,1,0,0,9,7,2,0,0,0,14,45,31,59.2
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25,1997,22,20,1780,2,0,0,3,1,33.3,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50,2,1.5,1.4,0.5,12,51,16,3,77,839,145,7,0,1,14,138,0,0,0,0,2,27,26,24,1,0,0,1,0,3,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,4,0,0,17,9,0,0,1,0,94,21,19,52.5
Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,2,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,86,74.4,1579,1172,15,15,100,29,29,100,18,39,46.2,0,0,0,0,0,1,0,0,0,65,20,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88,69,87,1,0,0,88,0,0,0,0,0,42,156,108,0,0,0,0,0,44,0,0,1,0,0,0,0,0,0,0,5,0,0,0
Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,22,17,1376,1,0,0,5,0,0,0,0,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,495,119,16,0,2,106,71,32,7,21,0,5,22,33,20,12,1,0,0,0,2,2,0,0,0,0,0,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,703,26,166,288,255,10,703,12,6,50,6,50,367,1839,972,28,21,3,12,4,432,72,4,1,1,23,17,2,0,0,0,48,8,11,42.1
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,22,19,1792,2,0.1,2,11,5,45.5,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,1186,79,30,0,7,3,17,0,0,0,0,1,5,14,12,0,0,0,0,2,1,0,0,0,0,0,1,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,4,0,0,30,4,1,0,0,1,124,32,21,60.4
